Package,Version,License
npth,1.6,LGPLv2+
gpgme,1.13.1,LGPLv2+
qrencode-libs,4.0.2,LGPLv2+
libnghttp2,1.40.0,MIT
curl,7.66.0,MIT
rpm-libs,4.15.1,GPLv2+ and LGPLv2+ with exceptions
libsolv,0.7.12,BSD
librepo,1.11.3,LGPLv2+
python3-libdnf,0.47.0,LGPLv2+
libpcap,1.9.1,BSD with advertising
libseccomp,2.4.2,LGPLv2
device-mapper-libs,1.02.171,LGPLv2
elfutils-default-yama-scope,0.179,GPLv2+ or LGPLv3+
dbus,1.12.16,(GPLv2+ or AFL) and GPLv2+
systemd,243.8,LGPLv2+ and MIT and GPLv2+
dbus-broker,21,ASL 2.0
python3-rpm,4.15.1,GPLv2+
dnf,4.2.21,GPLv2+ and GPLv2 and GPL
libsss_nss_idmap,2.2.3,LGPLv3+
yum,4.2.21,GPLv2+ and GPLv2 and GPL
tar,1.32,GPLv3+
gpg-pubkey,3c3359c4,pubkey

